,year,id,Team,RPI,SOS
325,2015,1381,Southern Utah,0.4262,0.4505
326,2015,1305,Nevada,0.4247,0.4936
327,2015,1359,Samford,0.4241,0.4358
328,2015,1430,Utah Valley,0.421,0.4503
329,2015,1315,North Dakota,0.4194,0.4731
330,2015,1422,NC-Greensboro,0.4159,0.4674
331,2015,1168,Cal State Fullerton,0.4141,0.4739
332,2015,1342,Presbyterian,0.4111,0.4738
333,2015,1265,Marist,0.4107,0.4720
334,2015,1202,Furman,0.4098,0.4752
335,2015,1311,Nicholls State,0.4081,0.4534
336,2015,1144,Campbell,0.4074,0.4719
337,2015,1354,South Carolina State,0.4053,0.4344
338,2015,1286,Montana State,0.4044,0.4729
339,2015,1154,The Citadel,0.4001,0.4377
340,2015,1366,Savannah State,0.3974,0.4438
341,2015,1127,Binghamton,0.3917,0.4741
342,2015,1410,Texas-Pan American,0.3884,0.4383
343,2015,1391,Stetson,0.3846,0.4455
344,2015,1239,Jacksonville,0.383,0.4326
345,2015,1263,Maine,0.381,0.4761
346,2015,1148,Central Connecticut State,0.3738,0.4522
347,2015,1420,Maryland-Baltimore County,0.371,0.4479
348,2015,1226,Idaho State,0.3659,0.4448
349,2015,1108,Alcorn State,0.3471,0.4184
350,2015,1197,Florida A&M;,0.3257,0.4185
351,2014,1196,Florida,0.6764,0.5817
352,2014,1242,Kansas,0.661,0.6344
353,2014,1437,Villanova,0.6455,0.5678
354,2014,1235,Iowa State,0.6391,0.5814
355,2014,1181,Duke,0.6371,0.5907
356,2014,1276,Michigan,0.6329,0.5911
357,2014,1433,Virginia Commonwealth,0.6258,0.5715
358,2014,1361,San Diego State,0.6246,0.5402
359,2014,1246,Kentucky,0.62,0.5966
360,2014,1257,Louisville,0.6191,0.5455
361,2014,1153,Cincinnati,0.6172,0.5520
362,2014,1269,Massachusetts,0.6138,0.5662
363,2014,1314,North Carolina,0.6077,0.5760
364,2014,1387,Saint Louis,0.6069,0.5490
365,2014,1203,George Washington,0.6028,0.5488
366,2014,1140,Brigham Young,0.6011,0.5727
367,2014,1379,Southern Miss,0.5983,0.5116
368,2014,1295,North Dakota State,0.5976,0.5182
369,2014,1272,Memphis,0.5949,0.5627
370,2014,1338,Pittsburgh,0.5895,0.5563
371,2014,1390,Stanford,0.5868,0.5771
372,2014,1173,Dayton,0.5837,0.5539
373,2014,1329,Oklahoma State,0.582,0.5692
374,2014,1462,Xavier,0.5804,0.5719
375,2014,1281,Missouri,0.5786,0.5527
376,2014,1243,Kansas State,0.5772,0.5706
377,2014,1374,Southern Methodist,0.5734,0.5196
378,2014,1301,North Carolina State,0.5716,0.5678
379,2014,1125,Belmont,0.5713,0.5049
380,2014,1233,Iona,0.569,0.5166
381,2014,1388,St. Mary's,0.5685,0.5461
382,2014,1143,California,0.5664,0.5671
383,2014,1174,Delaware,0.564,0.4907
384,2014,1385,St. John's,0.5624,0.5594
385,2014,1207,Georgetown,0.5624,0.5765
386,2014,1232,Indiana State,0.5611,0.5128
387,2014,1409,Tulsa,0.5603,0.5316
388,2014,1350,Richmond,0.5589,0.5564
389,2014,1116,Arkansas,0.5583,0.5374
390,2014,1155,Clemson,0.5567,0.5383
391,2014,1273,Mercer,0.5553,0.4772
392,2014,1261,LSU,0.5546,0.5472
393,2014,1283,Missouri State,0.5486,0.5261
394,2014,1325,Ohio,0.5481,0.5152
395,2014,1382,St. Bonaventure,0.5459,0.5493
396,2014,1156,Cleveland State,0.545,0.5053
397,2014,1103,Akron,0.543,0.5089
398,2014,1406,Towson,0.542,0.4860
399,2014,1184,Eastern Kentucky,0.5393,0.4720
400,2014,1300,North Carolina Central,0.5379,0.4188
401,2014,1436,Vermont,0.5365,0.4737
402,2014,1431,Texas-El Paso,0.5362,0.5063
403,2014,1346,Quinnipiac,0.536,0.4909
